% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.14	1	1	115	1	1	22	2769	22	2769	0
1.14	1	1	115	1	1	22	2769	22	2769	0
1.14	1	1	115	1	1	22	2769	22	2769	0
1.141	1	1	115	2	1	22	2769	22	2769	0
1.141	1	1	115	2	1	22	2769	22	2769	0
1.141	1	1	115	2	1	22	2769	22	2769	0
1.142	1	1	115	3	1	22	2769	22	2769	0
1.142	1	1	115	3	1	22	2769	22	2769	0
1.142	1	1	115	3	1	22	2769	22	2769	0
1.143	1	1	115	4	1	22	2769	22	2769	0
1.143	1	1	115	4	1	22	2769	22	2769	0
1.143	1	1	115	4	1	22	2769	22	2769	0
1.144	1	1	115	5	1	22	2769	22	2769	0
1.144	1	1	115	5	1	22	2769	22	2769	0
1.144	1	1	115	5	1	22	2769	22	2769	0
1.145	1	1	115	6	1	22	2769	22	2769	0
1.145	1	1	115	6	1	22	2769	22	2769	0
1.145	1	1	115	6	1	22	2769	22	2769	0
1.146	1	1	115	7	1	22	2769	22	2769	0
1.146	1	1	115	7	1	22	2769	22	2769	0
1.146	1	1	115	7	1	22	2769	22	2769	0
1.147	1	1	115	8	1	22	2769	22	2769	0
1.147	1	1	115	8	1	22	2769	22	2769	0
1.147	1	1	115	8	1	22	2769	22	2769	0
1.148	1	1	115	9	1	22	2769	22	2769	0
1.148	1	1	115	9	1	22	2769	22	2769	0
1.148	1	1	115	9	1	22	2769	22	2769	0
1.149	1	1	115	10	1	22	2769	22	2769	0
1.149	1	1	115	10	1	22	2769	22	2769	0
1.149	1	1	115	10	1	22	2769	22	2769	0
1.15	1	1	116	1	1	22	2769	22	2769	0
1.15	1	1	116	1	1	22	2769	22	2769	0
1.15	1	1	116	1	1	22	2769	22	2769	0
1.151	1	1	116	2	1	22	2769	22	2769	0
1.151	1	1	116	2	1	22	2769	22	2769	0
1.151	1	1	116	2	1	22	2769	22	2769	0
1.152	1	1	116	3	1	22	2769	22	2769	0
1.152	1	1	116	3	1	22	2769	22	2769	0
1.152	1	1	116	3	1	22	2769	22	2769	0
1.153	1	1	116	4	1	22	2769	22	2769	0
1.153	1	1	116	4	1	22	2769	22	2769	0
1.153	1	1	116	4	1	22	2769	22	2769	0
1.154	1	1	116	5	1	22	2769	22	2769	0
1.154	1	1	116	5	1	22	2769	22	2769	0
1.154	1	1	116	5	1	22	2769	22	2769	0
1.155	1	1	116	6	1	22	2769	22	2769	0
1.155	1	1	116	6	1	22	2769	22	2769	0
1.155	1	1	116	6	1	22	2769	22	2769	0
1.156	1	1	116	7	1	22	2769	22	2769	0
1.156	1	1	116	7	1	22	2769	22	2769	0
1.156	1	1	116	7	1	22	2769	22	2769	0
1.157	1	1	116	8	1	22	2769	22	2769	0
1.157	1	1	116	8	1	22	2769	22	2769	0
1.157	1	1	116	8	1	22	2769	22	2769	0
1.158	1	1	116	9	1	22	2769	22	2769	0
1.158	1	1	116	9	1	22	2769	22	2769	0
1.158	1	1	116	9	1	22	2769	22	2769	0
1.159	1	1	116	10	1	22	2769	22	2769	0
1.159	1	1	116	10	1	22	2769	22	2769	0
1.159	1	1	116	10	1	22	2769	22	2769	0
1.16	1	1	117	1	1	22	2769	22	2769	0
1.16	1	1	117	1	1	22	2769	22	2769	0
1.16	1	1	117	1	1	22	2769	22	2769	0
1.161	1	1	117	2	1	22	2769	22	2769	0
1.161	1	1	117	2	1	22	2769	22	2769	0
1.161	1	1	117	2	1	22	2769	22	2769	0
1.162	1	1	117	3	1	22	2769	22	2769	0
1.162	1	1	117	3	1	22	2769	22	2769	0
1.162	1	1	117	3	1	22	2769	22	2769	0
1.163	1	1	117	4	1	22	2769	22	2769	0
1.163	1	1	117	4	1	22	2769	22	2769	0
1.163	1	1	117	4	1	22	2769	22	2769	0
1.164	1	1	117	5	1	22	2769	22	2769	0
1.164	1	1	117	5	1	22	2769	22	2769	0
1.164	1	1	117	5	1	22	2769	22	2769	0
1.165	1	1	117	6	1	22	2769	22	2769	0
1.165	1	1	117	6	1	22	2769	22	2769	0
1.165	1	1	117	6	1	22	2769	22	2769	0
1.166	1	1	117	7	1	22	2769	22	2769	0
1.166	1	1	117	7	1	22	2769	22	2769	0
1.166	1	1	117	7	1	22	2769	22	2769	0
